address,total_loans_disbursed,total_loan_amount,average_loan_amount
"5134 Jeremy Stream, Port Tammy, AK 03111",1,73342,73342.0000
"899 Watson Spurs, Kathleenborough, TX 43119",1,72803,72803.0000
"9975 Stanley Points, South Steve, OH 04005",1,72289,72289.0000
"2043 David Turnpike, Pearsontown, WV 45159",2,72046,36023.0000
"18152 Stacy Islands Suite 127, South Brandonfort, VA 61492",1,70794,70794.0000
"Unit 4888 Box 2623, DPO AA 45161",1,69977,69977.0000
"7542 Phyllis Flat Apt. 310, South Harry, RI 95947",1,69806,69806.0000
"8339 Wise Forges Suite 966, Cartermouth, VA 57576",1,65715,65715.0000
"403 Johnson Curve, Marvinton, IL 96003",1,65319,65319.0000
"462 Timothy River, East Taylor, GA 29359",1,63500,63500.0000
"USS Webb, FPO AE 01471",1,59765,59765.0000
"793 Thornton Landing, Lake Nicole, ME 88667",1,59646,59646.0000
"73249 Silva Bridge Suite 895, Mcmahonville, AL 15674",1,59404,59404.0000
"012 Adam Place, Lindsayberg, AK 39875",1,56828,56828.0000
"99641 Fisher Ramp, West Matthewtown, NY 34325",1,55707,55707.0000
"910 Ruben Plains Apt. 601, Nicholasstad, MA 02255",1,55334,55334.0000
"9317 Sara Path, Jacksonfort, RI 94206",1,55247,55247.0000
"4252 Bowman Isle, West Sue, RI 47681",1,54853,54853.0000
"720 Brown Crossing Suite 306, Caitlintown, DC 70148",1,51042,51042.0000
"PSC 5127, Box 2223, APO AP 82582",1,48925,48925.0000
"2438 Garrett Alley Apt. 397, Luismouth, MD 94375",1,48757,48757.0000
"Unit 7129 Box 6171, DPO AP 41720",1,45578,45578.0000
"164 Thompson Locks Suite 950, Kellyside, VA 91762",1,44175,44175.0000
"948 Ramirez Lakes Suite 074, Lake Jamesshire, IN 83787",1,44064,44064.0000
"4625 Mcmahon Summit Suite 210, Castillomouth, RI 34003",1,43629,43629.0000
"91510 Brianna Manors, East Evan, OR 62857",1,42217,42217.0000
"PSC 0669, Box 3499, APO AP 94807",1,39947,39947.0000
"3146 Cheryl Stravenue, Smithchester, KY 23040",1,39099,39099.0000
"58232 Kramer Burgs, Harriston, AL 01392",1,35420,35420.0000
"421 Amy Glen, East Saratown, TX 48300",1,31563,31563.0000
"88574 Alex Pike, Mortonfort, DC 46573",1,31378,31378.0000
"66788 White Flat, Garciaville, PA 90714",1,31181,31181.0000
"4627 Stephanie Expressway Apt. 525, Lake Richardside, DC 60758",1,30648,30648.0000
"3821 Frances Hollow Suite 299, Obrienshire, OK 48450",1,26389,26389.0000
"80087 Welch Trail Suite 591, Cassandrabury, LA 93909",1,25933,25933.0000
"76932 Johnson Trail Apt. 886, East Elizabeth, CO 76329",1,25514,25514.0000
"81943 Brown Bridge, East Michaelbury, TX 79376",1,23965,23965.0000
"1990 Lisa Forest, Christopherborough, VA 53572",1,23846,23846.0000
"4284 Evans Pines Suite 856, Rosariofort, SC 90277",1,22641,22641.0000
"41744 Tyler Common Suite 858, Garciashire, OR 95758",1,22070,22070.0000
"914 Tracy Burgs Suite 345, Charleshaven, NJ 36962",1,15606,15606.0000
"7468 Powell View, South Heidiborough, NJ 13585",1,15459,15459.0000
"PSC 5131, Box 4792, APO AA 76532",1,12928,12928.0000
"429 Vaughan Motorway Suite 279, Lewishaven, AL 01972",1,11539,11539.0000
"260 Reed Rue Suite 941, West Lisahaven, MO 41190",1,8605,8605.0000
"172 Hutchinson Overpass Apt. 336, Oliviaberg, AK 49231",1,8554,8554.0000
"461 Daniel Brook, Cervantesland, MD 26683",1,8158,8158.0000
"USNV Norman, FPO AA 81753",1,6280,6280.0000
